ID,TRPG_title
0,指定なし
1,その他
2,アニマアニムス
3,アリアンロッドRPG２E
4,アルシャードセイヴァーRPG
5,ガーデンオーダー
6,巨獣討伐RPG コロッサルハンター
7,禁書封印譚 ブラインド・ミトスRPG
8,クトゥルフ神話TRPG
9,新クトゥルフ神話TRPG
10,セブン=フォートレス メビウス
11,ソード・ワールド2.0
12,ソード・ワールド2.5
13,ゾンビサバイバルRPG ダイス・オブ・ザ・デッド
14,ダブルクロス The 3rd Edition
15,チェンジアクションRPG マージナルヒーローズ
16,トーキョー･ナイトメア1 基本ルールブック
17,トーキョーN◎VA THE AXLERATION
18,常夜国騎士譚RPG ドラクルージュ
19,ドラゴンアームズ改 バハムートライジング
20,ナイトウィザード The 3rd Edition
21,バトルガールプロデュースRPG エースキラージーン
22,ビーストバインド トリニティ
23,ブレイド･オブ･アルカナ リインカーネイション
24,メタリックガーディアンRPG
25,モノトーンミュージアムRPG
26,ロードス島戦記RPG
27,神話創世RPG アマデウス
28,クラヤミクライン
29,迷宮キングダム
30,ロストレコード
31,蒸気と冒険の飛空艇TRPG 歯車の塔の探空士
32,誰かのために成りかわるTRPG バケノカワ
33,異界戦記カオスフレア Second Chapter
34,異世界転生RPG サンサーラ・バラッド
35,うたの魔法と小さな剣のRPG ウタカゼ・メルヒェン
36,英雄叙事詩RPG バルナ・クロニカ
37,英雄武装RPG コード:レイヤード
38,ガンアクションTRPG ガンドッグ
39,ガンアクションTRPG ガンドッグゼロ
40,ガンアクションTRPG ガンドッグ・リヴァイズド
41,現代感傷エクソシストTRPG 願望色の存在証明
42,現代錬金術TRPG アルケミア・ストラグル
43,蒸気活劇RPG スチームパンカーズ
44,神聖課金RPG ディヴァインチャージャー
45,世界救済社畜TRPG ネバー・レイト・ナイターズ
46,タンクライフRPG ダークブレイズ
47,小さな勇者のRPG ウタカゼ
48,でたとこサーガ
49,デモンパラサイト
50,パラサイトブラッド RPGルールブック
51,ふしぎもののけRPG ゆうやけこやけ
52,武装少女RPG プリンセスウイング
53,扶桑武侠傳
54,平安幻想夜話 鵺鏡
55,忍術バトルRPG シノビガミ
56,魔道書大戦RPG マギカロギア
57,ご近所メルヒェンRPG ピーカーブー
58,リアリティショーRPG キルデスビジネス
59,ホラーアクションRPG ブラッドムーン
60,駆け出しアイドルRPG ビギニングアイドル
61,異世界TRPG伝説 ヤンキー＆ヨグ＝ソトース
62,下僕系イケメンTRPG ダークデイズドライブ
63,青春バンドTRPG ストラトシャウト
64,星と宝石と人形のTRPG スタリィドール
65,アジアンパンクRPG サタスペ
66,モダンファンタジーRPG 獸ノ森
67,武将バトルRPG 転生三国志
68,バディサスペンスTRPG フタリソウサ
69,先輩後輩TRPG エネカデット
70,超次元カードバトルRPG カードランカー
71,アドバンスト・ファイティング・ファンタジー第2版
72,暗黒神話TRPG トレイル・オブ・クトゥルー
73,エムブリオマシンRPG
74,央華封神RPG
75,クリスタニアRPG
76,ゲヘナ
77,ゲヘナ～アナスタシス～
78,ゴーストハンター02
79,ゴーストハンターRPG
80,セイクリッド・ドラグーン -竜脈に覚醒めし者たち-
81,大活劇 江戸の始末人
82,トンネルズ＆トロールズ完全版
83,捏造ミステリーTRPG 赤と黒
84,パグマイア RPGルールブック
85,ファイヤード！
86,マウ連合君主国 RPGルールブック
87,エイジ･オブ･ギャラクシー
88,格闘アクションRPG 拳禅無双
89,Sci-FiミステリーRPG トワイライトハイスクール
90,転生サバイバルRPG ルーインブレイカーズ
91,日常ホラーRPG スクリームハイスクール
92,The FIFTEEN
93,エモクロアTRPG
94,マルチジャンル・ホラーRPG インセイン
95,永い後日談のネクロニカ
96,銀剣のステラナイツ
97,アンサング・デュエット
98,デッドラインヒーローズRPG
99,パラノイア
100,ダンジョンズ＆ドラゴンズ
101,ログ・ホライズンTRPG
102,ブルーローズ
103,ブルーローズ・ネクサス
104,上海退魔行～新撰組異聞～
105,霊障都市捜査ファイル　罪の街（シンシティ） 新宿
106,深淵 第二版
107,人鬼血盟ＲＰＧブラッドパス
108,マーダーミステリー
109,ザ・ループTRPG
110,ゴシックホラー＆ファンタジーTRPG 灰色城綺譚
111,ダークメルヘンTRPG カムズ 秋のたそがれの国
112,グランクレストRPG
113,ブラックジャケットRPG
114,ダイアレクト
115,ゴブリンスレイヤーTRPG
116,シャドウラン 5th Edition
117,ホラーVSビジネスRPG 東京ゴーストリサーチ
118,呪印感染
119,武装伝奇RPG　神我狩
120,超時空時代劇RPG 天下繚乱
121,LOST～廃墟の森の子供たち～
122,大正伝奇浪漫RPG あやびと
123,キズナバレット
124,ネバークラウドTRPG
125,怪談白物語
126,黒絢のアヴァンドナー
127,和風神話共生TRPG 多生ノ縁
128,ラストレクイエム～ネオゴシックRPG ～
129,怪談収集TRPG 現怪集楽
130,現代伝奇TRPG『異能使い第二式』
131,ストリテラ　オモテとウラのRPG
132,虚構侵蝕TRPG
133,光砕のリヴァルチャー
134,和風幻想RPG 不知火
135,千幻抄　～幻想郷TRPG～
136,ラヴクラフト・ミステリーTRPG Kutulu
137,終末紀行RPG World's End Journey
138,育成紀行RPG ロストロイヤル
139,おてがる多重人格 ジキルとハイドとグリトグラ
140,鋼鉄のユグドラシル
141,リミナルホラー
142,MÖRK BORG
143,天使礼讃-テンシライサン-
144,終幕TRPG　冥冥の国
145,ベルファール魔法学園
146,もしもの運命RPG『イフ・イフ・イフ』
147,魔女×見習いRPG　フレッジウィッチ
148,ソロジャーナル
149,ソロジャーナル（プレイログ）
150,Breathless
151,ARC: DOOM Tabletop RPG
152,第六猟兵TRPG
153,少女展爛会
154,戦国ドゥーム・メタルファンタジー「信長の黒い城」
155,サメTRPG
156,手紙でキセキを綴るTRPG「：プレイ･バイ･レター」
157,精神世界接色着彩TRPG NAP:DREAMERS
158,ケダモノオペラ
159,りゅうたま
160,詩片のアルセットREVIVAL
161,サイバーパンクRED
162,世紀末お掃除RPG アースリヴァイヴ
163,ウォーハンマーRPG
164,復讐執行TRPG　瞳逸らさぬイリスベイン
165,もふもふストリーム
166,オリエンタル霊異譚 幽冥鬼使
167,ブラドリウム　世界にとどめを刺すRPG
168,ワールドエンドフロントライン
169,神椿市建設中。NARRATIVE